dataset,protocol,auc,f1,precision,recall,threshold,n,pos_rate,random_auc
iceid,temporal_split_hard_neg,0.482421875,0.0,0.0,0.0,0.5,48,0.3333333333333333,0.591796875
abt_buy,deepmatcher_split,0.5236474119628084,0.0,0.0,0.0,0.5,2000,0.058,0.4898189838201918
amazon_google,deepmatcher_split,0.5179893726081221,0.0,0.0,0.0,0.5,2000,0.0655,0.5343715666213308
dblp_acm,deepmatcher_split,0.49660106348004435,0.0,0.0,0.0,0.5,2000,0.1365,0.500777354280539
dblp_scholar,deepmatcher_split,0.4768846679797764,0.0,0.0,0.0,0.5,2000,0.3245,0.4869622342178766
itunes_amazon,deepmatcher_split,0.5425469483568075,0.0,0.0,0.0,0.5,2000,0.006,0.43959590878604965
walmart_amazon,deepmatcher_split,0.5109133975413045,0.0,0.0,0.0,0.5,2000,0.054,0.5292312661498708
beer,deepmatcher_split,0.5056475903614458,0.0,0.0,0.0,0.5,2000,0.004,0.3020205823293173
fodors_zagats,deepmatcher_split,0.44263527054108215,0.0,0.0,0.0,0.5,2000,0.002,0.716933867735471
